tip_name	collection_date
hCoV-19_USA_NY-PRL-2021_03_29_00N19_2021	2021-03-25
hCoV-19_USA_CT-Yale-3194_2021	2021-03-26
hCoV-19_USA_OK-CDC-LC0043629_2021	2021-04-05
hCoV-19_USA_CT-Yale-3179_2021	2021-03-25
hCoV-19_USA_CT-JAX-JAX000435_2021	2021-03-20
hCoV-19_USA_CT-JAX-JAX000229_2021	2021-03-10
hCoV-19_USA_CT-JAX-JAX000427_2021	2021-03-19
hCoV-19_USA_CT-Yale-3191_2021	2021-03-25
hCoV-19_USA_CT-JAX-JAX000230_2021	2021-03-10
hCoV-19_USA_NY-PRL-2021_03_05_00E11_2021	2021-03-03
hCoV-19_USA_CT-Yale-2829_2021	2021-03-19
hCoV-19_USA_CT-JAX-JAX000833_2021	2021-04-06
hCoV-19_USA_CT-Yale-3230_2021	2021-03-27
hCoV-19_USA_CT-Yale-2718_2021	2021-03-21
hCoV-19_USA_CT-Yale-3210_2021	2021-03-25
hCoV-19_USA_CT-JAX-JAX000459_2021	2021-03-26
hCoV-19_USA_CT-JAX-JAX000407_2021	2021-03-18
hCoV-19_USA_CT-JAX-JAX000570_2021	2021-03-25
hCoV-19_USA_CT-JAX-JAX000575_2021	2021-03-24
hCoV-19_USA_CT-JAX-JAX000586_2021	2021-03-24
hCoV-19_USA_CT-JAX-JAX000631_2021	2021-03-23
hCoV-19_USA_CT-CDC-LC0040752_2021	2021-04-09
hCoV-19_USA_CT-JAX-JAX000847_2021	2021-04-06
hCoV-19_USA_CT-JAX-JAX000560_2021	2021-03-23
hCoV-19_USA_CT-JAX-JAX000552_2021	2021-03-25
hCoV-19_USA_CT-JAX-JAX000390_2021	2021-03-17
hCoV-19_USA_CT-JAX-JAX000597_2021	2021-03-24
hCoV-19_USA_CT-JAX-JAX000598_2021	2021-03-25
hCoV-19_USA_CT-JAX-JAX000579_2021	2021-03-21
hCoV-19_USA_CT-JAX-JAX000347_2021	2021-03-16
